RESPNUM,INTDATE,DAY,GATE,BAREA,AIRLINE,AIRLINE_CODE,DESTINATION,DEST_CODE,NETPRO,WEIGHT,HOWLONG,STRATA,STRATA_LBL,PEAK,PEAK_LBL,METHOD,METHOD_LBL,SAQ,SAQ_LBL,Q2PURP1,Q2PURP1_LBL,Q19AGE,Q19AGE_LBL,Q20GENDER,Q20GENDER_LBL,Q21INCOME,Q22FLY,Q22FLY_LBL,Q16LIVE,Q16LIVE_LBL,LANG,LANG_LBL,RESPNUM_PK,inferred_date,date_sk
489,8,Mon,50,D,VIRGIN AMERICA,30,LOS ANGELES,34,10.0,1.4778779661,115.0,3,PM (Flights departing after 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,4,35-44,2,Female,2,2,No,3,In another region,1,English,489,2017-05-08,128
490,8,Mon,50,D,VIRGIN AMERICA,30,LOS ANGELES,34,10.0,1.4778779661,90.0,3,PM (Flights departing after 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,1,Business/Work/Job Interview,5,45-54,2,Female,4,2,No,1,9-County Bay Area,1,English,490,2017-05-08,128
491,8,Mon,50,D,VIRGIN AMERICA,30,LOS ANGELES,34,9.0,1.4778779661,70.0,3,PM (Flights departing after 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,1,Business/Work/Job Interview,4,35-44,1,Male,4,2,No,3,In another region,1,English,491,2017-05-08,128
492,8,Mon,50,D,VIRGIN AMERICA,30,LOS ANGELES,34,9.0,1.4778779661,115.0,3,PM (Flights departing after 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,4,35-44,2,Female,3,2,No,3,In another region,1,English,492,2017-05-08,128
493,8,Mon,50,D,VIRGIN AMERICA,30,LOS ANGELES,34,10.0,1.4778779661,100.0,3,PM (Flights departing after 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,1,Business/Work/Job Interview,3,25-34,1,Male,4,2,No,1,9-County Bay Area,1,English,493,2017-05-08,128
494,8,Mon,50,D,VIRGIN AMERICA,30,LOS ANGELES,34,10.0,1.4778779661,70.0,3,PM (Flights departing after 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,1,Business/Work/Job Interview,5,45-54,2,Female,4,2,No,1,9-County Bay Area,1,English,494,2017-05-08,128
495,8,Mon,50,D,VIRGIN AMERICA,30,LOS ANGELES,34,7.0,1.4778779661,160.0,3,PM (Flights departing after 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,1,Business/Work/Job Interview,5,45-54,2,Female,4,1,Yes,3,In another region,1,English,495,2017-05-08,128
496,8,Mon,50,D,VIRGIN AMERICA,30,LOS ANGELES,34,6.0,1.4778779661,60.0,3,PM (Flights departing after 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,1,Business/Work/Job Interview,3,25-34,2,Female,0,1,Yes,1,9-County Bay Area,1,English,496,2017-05-08,128
497,8,Mon,50,D,VIRGIN AMERICA,30,LOS ANGELES,34,10.0,1.4778779661,,3,PM (Flights departing after 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,1,Business/Work/Job Interview,3,25-34,2,Female,2,2,No,3,In another region,1,English,497,2017-05-08,128
498,8,Mon,50,D,VIRGIN AMERICA,30,LOS ANGELES,34,8.0,1.4778779661,100.0,3,PM (Flights departing after 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,1,Business/Work/Job Interview,3,25-34,2,Female,4,2,No,3,In another region,1,English,498,2017-05-08,128
499,8,Mon,50,D,VIRGIN AMERICA,30,LOS ANGELES,34,8.0,1.4778779661,60.0,3,PM (Flights departing after 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,1,Business/Work/Job Interview,5,45-54,1,Male,4,1,Yes,1,9-County Bay Area,1,English,499,2017-05-08,128
500,8,Mon,50,D,VIRGIN AMERICA,30,LOS ANGELES,34,7.0,1.4778779661,55.0,3,PM (Flights departing after 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,1,Business/Work/Job Interview,4,35-44,2,Female,2,2,No,1,9-County Bay Area,1,English,500,2017-05-08,128
501,8,Mon,50,D,VIRGIN AMERICA,30,LOS ANGELES,34,9.0,1.4778779661,110.0,3,PM (Flights departing after 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,3,Visit friends or relatives,7,65 and over,2,Female,1,2,No,3,In another region,1,English,501,2017-05-08,128
502,8,Mon,50,D,VIRGIN AMERICA,30,LOS ANGELES,34,10.0,1.4778779661,70.0,3,PM (Flights departing after 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,1,Business/Work/Job Interview,5,45-54,2,Female,4,1,Yes,3,In another region,1,English,502,2017-05-08,128
503,8,Mon,50,D,VIRGIN AMERICA,30,LOS ANGELES,34,10.0,1.4778779661,100.0,3,PM (Flights departing after 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,1,Interviewer Administered,2,Pleasure/Vacation/Recreation,2,18-24,1,Male,2,2,No,1,9-County Bay Area,1,English,503,2017-05-08,128
504,8,Mon,50,D,VIRGIN AMERICA,30,LOS ANGELES,34,10.0,1.4778779661,100.0,3,PM (Flights departing after 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,1,Interviewer Administered,1,Business/Work/Job Interview,3,25-34,1,Male,4,2,No,1,9-County Bay Area,1,English,504,2017-05-08,128
505,8,Mon,50,D,VIRGIN AMERICA,30,LOS ANGELES,34,10.0,1.4778779661,70.0,3,PM (Flights departing after 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,1,Interviewer Administered,3,Visit friends or relatives,3,25-34,2,Female,4,2,No,3,In another region,1,English,505,2017-05-08,128
506,22,Mon,2,A,AVIANCA,11,SAN SALVADOR,56,10.0,0.723115625,115.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,1,Interviewer Administered,3,Visit friends or relatives,4,35-44,2,Female,2,1,Yes,1,9-County Bay Area,1,English,506,2017-05-22,142
507,22,Mon,2,A,AVIANCA,11,SAN SALVADOR,56,10.0,0.723115625,145.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,2,18-24,1,Male,1,3,Don't know,1,9-County Bay Area,1,English,507,2017-05-22,142
508,22,Mon,2,A,AVIANCA,11,SAN SALVADOR,56,10.0,0.723115625,115.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,2,Self Administered,3,Visit friends or relatives,3,25-34,1,Male,1,3,Don't know,3,In another region,1,English,508,2017-05-22,142
509,22,Mon,2,A,AVIANCA,11,SAN SALVADOR,56,4.0,0.723115625,115.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,2,Self Administered,1,Business/Work/Job Interview,4,35-44,1,Male,3,1,Yes,1,9-County Bay Area,1,English,509,2017-05-22,142
510,22,Mon,2,A,AVIANCA,11,SAN SALVADOR,56,6.0,0.723115625,115.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,3,25-34,2,Female,1,2,No,3,In another region,1,English,510,2017-05-22,142
511,22,Mon,2,A,AVIANCA,11,SAN SALVADOR,56,7.0,0.723115625,115.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,2,Self Administered,1,Business/Work/Job Interview,6,55-64,1,Male,4,2,No,1,9-County Bay Area,1,English,511,2017-05-22,142
512,22,Mon,2,A,AVIANCA,11,SAN SALVADOR,56,5.0,0.723115625,115.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,2,Self Administered,1,Business/Work/Job Interview,4,35-44,1,Male,2,2,No,1,9-County Bay Area,1,English,512,2017-05-22,142
513,22,Mon,2,A,AVIANCA,11,SAN SALVADOR,56,9.0,0.723115625,175.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,2,18-24,2,Female,1,2,No,1,9-County Bay Area,1,English,513,2017-05-22,142
514,22,Mon,2,A,AVIANCA,11,SAN SALVADOR,56,10.0,0.723115625,185.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,4,35-44,2,Female,3,2,No,3,In another region,1,English,514,2017-05-22,142
515,22,Mon,2,A,AVIANCA,11,SAN SALVADOR,56,5.0,0.723115625,125.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,2,Self Administered,3,Visit friends or relatives,2,18-24,2,Female,3,2,No,1,9-County Bay Area,1,English,515,2017-05-22,142
516,22,Mon,2,A,AVIANCA,11,SAN SALVADOR,56,5.0,0.723115625,125.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,2,18-24,2,Female,2,2,No,1,9-County Bay Area,1,English,516,2017-05-22,142
517,22,Mon,2,A,AVIANCA,11,SAN SALVADOR,56,11.0,0.723115625,115.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,4,35-44,1,Male,2,2,No,1,9-County Bay Area,1,English,517,2017-05-22,142
518,22,Mon,2,A,AVIANCA,11,SAN SALVADOR,56,9.0,0.723115625,215.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,2,Self Administered,3,Visit friends or relatives,6,55-64,2,Female,1,2,No,1,9-County Bay Area,2,Spanish,518,2017-05-22,142
519,22,Mon,2,A,AVIANCA,11,SAN SALVADOR,56,10.0,0.723115625,,1,AM (Flights departing before 11 am),3,International flights,1,At gate,2,Self Administered,3,Visit friends or relatives,6,55-64,2,Female,2,3,Don't know,3,In another region,2,Spanish,519,2017-05-22,142
520,22,Mon,2,A,AVIANCA,11,SAN SALVADOR,56,8.0,0.723115625,125.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,7,65 and over,1,Male,2,2,No,1,9-County Bay Area,2,Spanish,520,2017-05-22,142
521,22,Mon,2,A,AVIANCA,11,SAN SALVADOR,56,10.0,0.723115625,,1,AM (Flights departing before 11 am),3,International flights,1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,6,55-64,2,Female,1,2,No,1,9-County Bay Area,2,Spanish,521,2017-05-22,142
522,22,Mon,2,A,AVIANCA,11,SAN SALVADOR,56,8.0,0.723115625,175.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,2,Self Administered,3,Visit friends or relatives,3,25-34,2,Female,2,3,Don't know,1,9-County Bay Area,2,Spanish,522,2017-05-22,142
523,22,Mon,2,A,AVIANCA,11,SAN SALVADOR,56,10.0,0.723115625,135.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,2,Self Administered,0,,5,45-54,2,Female,0,2,No,3,In another region,2,Spanish,523,2017-05-22,142
524,22,Mon,2,A,AVIANCA,11,SAN SALVADOR,56,1.0,0.723115625,,1,AM (Flights departing before 11 am),3,International flights,1,At gate,2,Self Administered,0,,5,45-54,2,Female,0,4,,0,,2,Spanish,524,2017-05-22,142
525,22,Mon,2,A,AVIANCA,11,SAN SALVADOR,56,8.0,0.723115625,595.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,2,Self Administered,3,Visit friends or relatives,4,35-44,2,Female,2,3,Don't know,3,In another region,3,Chinese,525,2017-05-22,142
526,30,Tue,88,F,UNITED,28,NEWARK,44,10.0,1.6329600946,115.0,3,PM (Flights departing after 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,1,Interviewer Administered,3,Visit friends or relatives,6,55-64,2,Female,4,2,No,3,In another region,1,English,526,2017-05-30,150
527,30,Tue,88,F,UNITED,28,NEWARK,44,7.0,1.6329600946,80.0,3,PM (Flights departing after 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,1,Business/Work/Job Interview,5,45-54,1,Male,4,1,Yes,1,9-County Bay Area,1,English,527,2017-05-30,150
528,30,Tue,88,F,UNITED,28,NEWARK,44,10.0,1.6329600946,140.0,3,PM (Flights departing after 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,3,25-34,1,Male,0,2,No,3,In another region,1,English,528,2017-05-30,150
529,30,Tue,88,F,UNITED,28,NEWARK,44,8.0,1.6329600946,68.0,3,PM (Flights departing after 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,1,Business/Work/Job Interview,4,35-44,1,Male,4,1,Yes,1,9-County Bay Area,1,English,529,2017-05-30,150
530,30,Tue,88,F,UNITED,28,NEWARK,44,11.0,1.6329600946,110.0,3,PM (Flights departing after 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,8,Don't Know / Refused,4,Blank/Multiple responses,0,4,,0,,1,English,530,2017-05-30,150
531,30,Tue,88,F,UNITED,28,NEWARK,44,8.0,1.6329600946,80.0,3,PM (Flights departing after 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,3,Visit friends or relatives,2,18-24,2,Female,2,2,No,3,In another region,1,English,531,2017-05-30,150
532,30,Tue,88,F,UNITED,28,NEWARK,44,9.0,1.6329600946,590.0,3,PM (Flights departing after 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,8,Don't Know / Refused,4,Blank/Multiple responses,0,4,,0,,1,English,532,2017-05-30,150
533,30,Tue,88,F,UNITED,28,NEWARK,44,10.0,1.6329600946,110.0,3,PM (Flights departing after 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,3,25-34,2,Female,4,2,No,3,In another region,1,English,533,2017-05-30,150
534,30,Tue,88,F,UNITED,28,NEWARK,44,10.0,1.6329600946,230.0,3,PM (Flights departing after 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,3,25-34,2,Female,1,2,No,3,In another region,1,English,534,2017-05-30,150
535,30,Tue,88,F,UNITED,28,NEWARK,44,9.0,1.6329600946,80.0,3,PM (Flights departing after 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,3,Visit friends or relatives,7,65 and over,1,Male,3,2,No,1,9-County Bay Area,1,English,535,2017-05-30,150
536,30,Tue,88,F,UNITED,28,NEWARK,44,11.0,1.6329600946,50.0,3,PM (Flights departing after 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,8,Don't Know / Refused,4,Blank/Multiple responses,0,4,,0,,1,English,536,2017-05-30,150
537,30,Tue,88,F,UNITED,28,NEWARK,44,10.0,1.6329600946,200.0,3,PM (Flights departing after 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,3,Visit friends or relatives,5,45-54,1,Male,2,2,No,2,Northern California outside the Bay Area,1,English,537,2017-05-30,150
538,30,Tue,88,F,UNITED,28,NEWARK,44,7.0,1.6329600946,110.0,3,PM (Flights departing after 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,1,Business/Work/Job Interview,3,25-34,1,Male,3,1,Yes,3,In another region,1,English,538,2017-05-30,150
539,30,Tue,88,F,UNITED,28,NEWARK,44,10.0,1.6329600946,110.0,3,PM (Flights departing after 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,3,Visit friends or relatives,5,45-54,4,Blank/Multiple responses,4,1,Yes,1,9-County Bay Area,1,English,539,2017-05-30,150
540,30,Tue,88,F,UNITED,28,NEWARK,44,8.0,1.6329600946,110.0,3,PM (Flights departing after 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,3,Visit friends or relatives,6,55-64,2,Female,0,2,No,3,In another region,1,English,540,2017-05-30,150
541,30,Tue,88,F,UNITED,28,NEWARK,44,9.0,1.6329600946,200.0,3,PM (Flights departing after 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,1,Business/Work/Job Interview,3,25-34,2,Female,0,2,No,3,In another region,1,English,541,2017-05-30,150
542,30,Tue,88,F,UNITED,28,NEWARK,44,10.0,1.6329600946,140.0,3,PM (Flights departing after 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,3,Visit friends or relatives,6,55-64,2,Female,1,2,No,3,In another region,2,Spanish,542,2017-05-30,150
543,15,Mon,25,B,SOUTHWEST,25,BURBANK,8,9.0,1.1156485207,120.0,2,MID (Flights departing 11 am to 5 pm),1,Domestic peak (depart 8 am to 1 pm),1,At gate,1,Interviewer Administered,2,Pleasure/Vacation/Recreation,4,35-44,1,Male,3,2,No,3,In another region,1,English,543,2017-05-15,135
544,15,Mon,25,B,SOUTHWEST,25,BURBANK,8,10.0,1.1156485207,135.0,2,MID (Flights departing 11 am to 5 pm),1,Domestic peak (depart 8 am to 1 pm),1,At gate,1,Interviewer Administered,2,Pleasure/Vacation/Recreation,3,25-34,1,Male,1,1,Yes,3,In another region,1,English,544,2017-05-15,135
545,15,Mon,25,B,SOUTHWEST,25,BURBANK,8,5.0,1.1156485207,120.0,2,MID (Flights departing 11 am to 5 pm),1,Domestic peak (depart 8 am to 1 pm),1,At gate,2,Self Administered,6,Wedding/funeral/graduation/reunion,6,55-64,1,Male,4,2,No,3,In another region,1,English,545,2017-05-15,135
546,15,Mon,25,B,SOUTHWEST,25,BURBANK,8,8.0,1.1156485207,80.0,2,MID (Flights departing 11 am to 5 pm),1,Domestic peak (depart 8 am to 1 pm),1,At gate,2,Self Administered,3,Visit friends or relatives,6,55-64,2,Female,0,2,No,3,In another region,1,English,546,2017-05-15,135
547,15,Mon,25,B,SOUTHWEST,25,BURBANK,8,10.0,1.1156485207,90.0,2,MID (Flights departing 11 am to 5 pm),1,Domestic peak (depart 8 am to 1 pm),1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,3,25-34,2,Female,1,2,No,3,In another region,1,English,547,2017-05-15,135
548,15,Mon,25,B,SOUTHWEST,25,BURBANK,8,10.0,1.1156485207,90.0,2,MID (Flights departing 11 am to 5 pm),1,Domestic peak (depart 8 am to 1 pm),1,At gate,2,Self Administered,3,Visit friends or relatives,6,55-64,2,Female,3,2,No,3,In another region,1,English,548,2017-05-15,135
549,15,Mon,25,B,SOUTHWEST,25,BURBANK,8,10.0,1.1156485207,90.0,2,MID (Flights departing 11 am to 5 pm),1,Domestic peak (depart 8 am to 1 pm),1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,7,65 and over,2,Female,4,2,No,3,In another region,1,English,549,2017-05-15,135
550,15,Mon,25,B,SOUTHWEST,25,BURBANK,8,10.0,1.1156485207,90.0,2,MID (Flights departing 11 am to 5 pm),1,Domestic peak (depart 8 am to 1 pm),1,At gate,2,Self Administered,3,Visit friends or relatives,7,65 and over,2,Female,1,2,No,1,9-County Bay Area,1,English,550,2017-05-15,135
551,13,Sat,92,G,AIR CANADA,3,CALGARY,9,7.0,0.2847177143,150.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,1,Interviewer Administered,2,Pleasure/Vacation/Recreation,4,35-44,1,Male,0,2,No,3,In another region,1,English,551,2017-05-13,133
552,13,Sat,92,G,AIR CANADA,3,CALGARY,9,9.0,0.2847177143,150.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,1,Interviewer Administered,0,,5,45-54,2,Female,2,2,No,3,In another region,1,English,552,2017-05-13,133
553,13,Sat,92,G,AIR CANADA,3,CALGARY,9,6.0,0.2847177143,150.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,1,Interviewer Administered,3,Visit friends or relatives,2,18-24,2,Female,2,2,No,3,In another region,1,English,553,2017-05-13,133
554,13,Sat,92,G,AIR CANADA,3,CALGARY,9,10.0,0.2847177143,120.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,2,Self Administered,3,Visit friends or relatives,2,18-24,2,Female,1,3,Don't know,3,In another region,1,English,554,2017-05-13,133
555,13,Sat,92,G,AIR CANADA,3,CALGARY,9,9.0,0.2847177143,105.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,2,Self Administered,1,Business/Work/Job Interview,2,18-24,2,Female,2,2,No,3,In another region,1,English,555,2017-05-13,133
556,13,Sat,92,G,AIR CANADA,3,CALGARY,9,5.0,0.2847177143,150.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,2,Self Administered,6,Wedding/funeral/graduation/reunion,6,55-64,1,Male,3,2,No,3,In another region,1,English,556,2017-05-13,133
557,13,Sat,92,G,AIR CANADA,3,CALGARY,9,6.0,0.2847177143,210.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,3,25-34,1,Male,1,3,Don't know,3,In another region,1,English,557,2017-05-13,133
558,13,Sat,92,G,AIR CANADA,3,CALGARY,9,11.0,0.2847177143,210.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,2,Self Administered,0,,8,Don't Know / Refused,4,Blank/Multiple responses,0,4,,0,,1,English,558,2017-05-13,133
559,13,Sat,92,G,AIR CANADA,3,CALGARY,9,8.0,0.2847177143,150.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,3,25-34,2,Female,2,3,Don't know,3,In another region,1,English,559,2017-05-13,133
560,13,Sat,92,G,AIR CANADA,3,CALGARY,9,6.0,0.2847177143,120.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,2,Self Administered,1,Business/Work/Job Interview,5,45-54,1,Male,3,3,Don't know,3,In another region,1,English,560,2017-05-13,133
561,13,Sat,92,G,AIR CANADA,3,CALGARY,9,10.0,0.2847177143,150.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,2,18-24,1,Male,1,2,No,3,In another region,1,English,561,2017-05-13,133
562,13,Sat,92,G,AIR CANADA,3,CALGARY,9,8.0,0.2847177143,170.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,3,25-34,2,Female,2,3,Don't know,1,9-County Bay Area,1,English,562,2017-05-13,133
563,13,Sat,92,G,AIR CANADA,3,CALGARY,9,9.0,0.2847177143,120.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,2,Self Administered,1,Business/Work/Job Interview,3,25-34,2,Female,3,2,No,3,In another region,1,English,563,2017-05-13,133
564,13,Sat,92,G,AIR CANADA,3,CALGARY,9,7.0,0.2847177143,150.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,2,Self Administered,1,Business/Work/Job Interview,6,55-64,1,Male,2,3,Don't know,3,In another region,1,English,564,2017-05-13,133
565,6,Sat,28,B,SOUTHWEST,25,PHOENIX,49,7.0,1.1156485207,265.0,2,MID (Flights departing 11 am to 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,2,18-24,1,Male,3,2,No,3,In another region,1,English,565,2017-05-06,126
566,6,Sat,28,B,SOUTHWEST,25,PHOENIX,49,9.0,1.1156485207,115.0,2,MID (Flights departing 11 am to 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,0,,6,55-64,2,Female,4,2,No,3,In another region,1,English,566,2017-05-06,126
567,6,Sat,28,B,SOUTHWEST,25,PHOENIX,49,6.0,1.1156485207,175.0,2,MID (Flights departing 11 am to 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,6,55-64,2,Female,3,2,No,3,In another region,1,English,567,2017-05-06,126
568,6,Sat,28,B,SOUTHWEST,25,PHOENIX,49,9.0,1.1156485207,145.0,2,MID (Flights departing 11 am to 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,1,Business/Work/Job Interview,6,55-64,1,Male,2,2,No,3,In another region,1,English,568,2017-05-06,126
569,6,Sat,28,B,SOUTHWEST,25,PHOENIX,49,8.0,1.1156485207,145.0,2,MID (Flights departing 11 am to 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,3,25-34,2,Female,1,2,No,3,In another region,1,English,569,2017-05-06,126
570,6,Sat,28,B,SOUTHWEST,25,PHOENIX,49,8.0,1.1156485207,100.0,2,MID (Flights departing 11 am to 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,6,55-64,2,Female,0,2,No,3,In another region,1,English,570,2017-05-06,126
571,6,Sat,28,B,SOUTHWEST,25,PHOENIX,49,7.0,1.1156485207,175.0,2,MID (Flights departing 11 am to 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,4,35-44,1,Male,3,2,No,3,In another region,1,English,571,2017-05-06,126
572,6,Sat,28,B,SOUTHWEST,25,PHOENIX,49,7.0,1.1156485207,55.0,2,MID (Flights departing 11 am to 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,5,Conference/convention,3,25-34,1,Male,2,2,No,3,In another region,1,English,572,2017-05-06,126
573,6,Sat,28,B,SOUTHWEST,25,PHOENIX,49,10.0,1.1156485207,70.0,2,MID (Flights departing 11 am to 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,4,35-44,1,Male,3,2,No,3,In another region,1,English,573,2017-05-06,126
574,6,Sat,28,B,SOUTHWEST,25,PHOENIX,49,10.0,1.1156485207,100.0,2,MID (Flights departing 11 am to 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,5,45-54,2,Female,3,2,No,3,In another region,1,English,574,2017-05-06,126
575,6,Sat,28,B,SOUTHWEST,25,PHOENIX,49,8.0,1.1156485207,100.0,2,MID (Flights departing 11 am to 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,1,Business/Work/Job Interview,3,25-34,2,Female,3,3,Don't know,3,In another region,1,English,575,2017-05-06,126
576,6,Sat,28,B,SOUTHWEST,25,PHOENIX,49,7.0,1.1156485207,115.0,2,MID (Flights departing 11 am to 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,5,Conference/convention,4,35-44,2,Female,4,3,Don't know,3,In another region,1,English,576,2017-05-06,126
577,6,Sat,28,B,SOUTHWEST,25,PHOENIX,49,8.0,1.1156485207,85.0,2,MID (Flights departing 11 am to 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,3,Visit friends or relatives,6,55-64,2,Female,3,2,No,1,9-County Bay Area,1,English,577,2017-05-06,126
578,6,Sat,28,B,SOUTHWEST,25,PHOENIX,49,9.0,1.1156485207,115.0,2,MID (Flights departing 11 am to 5 pm),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,6,55-64,2,Female,2,2,No,3,In another region,1,English,578,2017-05-06,126
